Rank,Major,Degree_Type,Early_Career_Pay,Mid_Career_Pay
120,Instructional Design & Technology,Master's,59700,78500
121,Nursing Education,Master's,65900,78000
122,Instructional Design,Master's,52800,77500
123,Communicative Disorders,Master's,63500,77300
124,Public Administration,Master's,47200,77000
125,Instructional Technology,Master's,55500,75900
126,Landscape Architecture,Master's,48100,75700
127,Journalism,Master's,46100,75200
128,Social Science,Master's,52400,75100
129,Educational Administration,Master's,53900,74400
130,"Film, Video & Media Studies",Master's,46000,73700
131,Health Administration,Master's,51800,73100
132,Graphic Design,Master's,46600,72500
133,Geography,Master's,48600,72300
134,English Literature,Master's,43200,72100
135,Educational Leadership,Master's,52700,72000
136,Educational Technology (EDT),Master's,52900,71200
137,Criminal Justice Administration,Master's,42000,70400
138,Nonprofit Management,Master's,44900,70300
139,Adult Education & Training,Master's,47100,70000
140,Creative Writing,Master's,43800,70000
141,Art History,Master's,41300,69900
142,School Psychology,Master's,53400,68000
